FAERS_drug_match,lookup_value
"ADRENAL HEALTH (BRAND) = (SIBERIAN RHODIOLA, RHODIOLA, HOLY BASIL, SCHISANDRA BERRY, ASHWAGANDHA ROOT) PHOSPHORYLATED SERINE",Ashwaganda
ASHWAGANDHA,Ashwaganda
"ASHWAGANDHA,",Ashwaganda
ASHWAGANDHA                        /01660201/,Ashwaganda
ASHWAGANDHA /01660201/,Ashwaganda
ASHWAGANDHA (+) CATS CLAW (+) PAU D'ARCO (+) RHODIOLA (+) STEMMACANTHA,Ashwaganda
ASHWAGANDHA EXTRACT,Ashwaganda
ASHWAGANDHA ROOT EXTRACT,Ashwaganda
ASHWAGANDHA (WITHANIA SOMNIFERA),Ashwaganda
ASHWAGANDHA [WITHANIA SOMNIFERA],Ashwaganda
ASHWAGANDHA [WITHANIA SOMNIFERA ROOT],Ashwaganda
AYUR-ASHWAGANDHA,Ashwaganda
BR. NUTRITION ASHWAGANDHA EXTRA STRENGTH,Ashwaganda
PAPAYA SEEDS ASHWAGANDHA,Ashwaganda
PURE ENCAPSULATIONS ASHWAGANDHA EXTRACT,Ashwaganda
SOLGAR ASHWAGANDHA ROOT EXTRACT,Ashwaganda
WITHANIA SOMNEFERA,Ashwaganda
WITHANIA SOMNIFERA,Ashwaganda
WITHANIA SOMNIFERA ROOT.,Ashwaganda
"BUTCHER'S BROOM ROOT, 940 MG",Butcher's-broom
RUSCUS ACULEATUS ^BUTCHER'S BROOM^,Butcher's-broom
ASCORBIC ACID/HESPERIDIN METHYL CHALCONE/RUSCUS ACULEATUS,Butcher's-broom
CYCLO 3 [ASCORBIC ACID;HESPERIDIN METHYL CHALCONE;RUSCUS ACULEATUS],Butcher's-broom
"CYCLO 3          (MELILOTUS OFFICINALIS, RUSCUS ACULEATUS)",Butcher's-broom
CYCLO 3 [MELILOTUS OFFICINALIS;RUSCUS ACULEATUS],Butcher's-broom
"CYCLO (MELIOTUS OFFICINALIS, RUSCUS ACULEATUS)",Butcher's-broom
"FIBLAST (ASCORBIC ACID, HESPERIDIN METHYL CHALCONE, RUSCUS ACULEATUS)",Butcher's-broom
HESPERIDINA METILCHALCONA . ORAL (RUSCUS ACULEATUS EXTRACT),Butcher's-broom
HESPERIDIN METHYL CHALCONE;RUSCUS ACULEATUS D,Butcher's-broom
PHLEBODRIL (ASCORBIC ACID/HESPERIDIN METHYL CHALCONE/RUSCUS ACULEATUS),Butcher's-broom
PHLEBODRIL N (RUSCUS ACULEATUS MELILOTUS OFFICINALIS),Butcher's-broom
RUSCUS ACULEATUS,Butcher's-broom
RUSCUS ACULEATUS EXTRACT,Butcher's-broom
"RUSCUS ACULEATUS, MELILOT (NON-ABBOTT)",Butcher's-broom
RUSCUS ACULEATUS                    (RUSCUS ACULEATUS),Butcher's-broom
CAT'S CLAW,Cat's-claw
CAT'S CLAW BARK,Cat's-claw
CAT'S CLAW EXTRACT,Cat's-claw
CAT'S CLAW HERBAL REMEDY,Cat's-claw
CAT'S CLAW (UNCARIA TOMENTOSA),Cat's-claw
CATS CLAW [UNCARIA TOMENTOSA],Cat's-claw
CATS CLAW (UNCARIA TOMENTOSA/GUIANENSIS) CAPSULES,Cat's-claw
CATS CLAW [UNCARIA TOMENTOSA STEM BARK],Cat's-claw
UNCARIA TOMENTOSA,Cat's-claw
UNCARIA TOMENTOSA BARK POWDER,Cat's-claw
UNCARIA TOMENTOSA/CUPHEA BALSAMONA/MAYTENUS ILICIFOLIA (HERBS),Cat's-claw
"ASARUM SPP. ROOT, CINNAMOMUM CASSIA BARK, EPHEDRA SPP. HERB, GLYCYRRHI",Cinnamon
CASSIA (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamon
CASSIA CINNAMON,Cinnamon
CINNAMOMUM CASSIA,Cinnamon
CINNAMOMUM CASSIA BARK,Cinnamon
CINNAMOMUM CASSIA BARK/EPHEDRA SPP. HERB/GLYCYRRHIZA SPP. ROOT/PAEONIA LACTIFLORA ROOT/PUERARIA LOBA,Cinnamon
"CINNAMOMUM CASSIA BARK, PAEONIA LACTIFLORA ROOT, PAEONIA X SUFFRUTICOS",Cinnamon
CINNAMON BARK CASSIA,Cinnamon
CINNAMON [CINNAMOMUM CASSIA BARK],Cinnamon
CINNAMON EXTRACT [CINNAMOMUM CASSIA TWIG],Cinnamon
"GOREISAN /08015901/ (ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, ATRACTYLODES SPP. RHIZOME, CINNAMOMIUM CASSIA BARK, POLYPORUS UMBELLATUS SCLEROTIUM, PORIA COCOS SCLEROTIUM)",Cinnamon
"GOSHAJINKIGAN (ACHYRANTHES BIDENTATA ROOT, ACONITUM SPP. PROCESSED ROOT, ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, CINNAMOMUM CASSIA BARK, CORNUS OFFICINALIS FRUIT, DIOSCOREA SPP. RHIZOME, PAEONIA X SUFFRUTICOSA ROOT BARK, PLANTAGO ASIATICA SEED, PORIA COCOS SCLEROTIUM, REHMANNIA GLUTINOSA ROOT)",Cinnamon
"HACHIMIJIOGAN (ACONITUM SPP. PROCESSED ROOT, ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, CINNAMOMUM CASSIA BARK, CORNUS OFFICINALIS FRUIT, DIOSCOREA SPP. RHIZOME, PAEONIA X SUFFRUTICOSA ROOT BARK, PORIA COCOS SCLEROTIUM, REHMANNIA GLUTINOSA ROOT)",Cinnamon
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP.,Cinnamon
KAKKONTO [CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB;GLYCYRRHIZA SPP. RO,Cinnamon
KAKKONTOKASENKYUSHIN'I [CINNAMOMUM CASSIA BARK;CNIDIUM OFFICINALE RHIZ,Cinnamon
KEISHIKASHAKUYAKUTO [CINNAMOMUM CASSIA BARK;GLYCYRRHIZA SPP. ROOT;PAEO,Cinnamon
"MAOTO (CINNAMOMUM CASSIA BARK, EPHEDRA SPP. HERB, GLYCYRRHIZA SPP. ROOT, PRUNIUS SPP. SEED)",Cinnamon
RYOKEIJUTSUKANTO [ATRACTYLODES LANCEA RHIZOME;CINNAMOMUM CASSIA BARK;G,Cinnamon
"SAIREITO /08000901/ (ALISMA PLANTAGO-AQUATICA VAR. ORIENTALE TUBER, ATRACTYLODES LANCEA RHIZOME, BUPLEURUM FALCATUM ROOT, CINNAMOMUM CASSIA BARK, GLYCYRRHIZA SPP. ROOT, PANAX GINSENG ROOT, PINELLIA TERNATA TUBER, POLYPORUS UMBELLATUS SCLEROTIUM, PORIA COCOS SCLEROTIUM, SCUTELLARIA BAICALENSIS ROOT, ZINGIBER OFFICINALE RHIZOME, ZIZIPHUS JUJUBA VAR. INERMIS FRUIT)",Cinnamon
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP.,Cinnamon
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB,Cinnamon
"CHROMIUM, CINNAMOMUM VERUM",Cinnamon
CHROMIUM/CINNAMOMUM VERUM/ZINC,Cinnamon
CHROMIUM W/CINNAMOMUM VERUM/ZINC,Cinnamon
CINNAMOMUM VERUM,Cinnamon
CINNAMOMUM VERUM BARK,Cinnamon
CINNAMOMUM VERUM (CINNAMOMUM VERUM),Cinnamon
CINNAMOMUM VERUM OIL,Cinnamon
CINNAMON /01647501/ (CINNAMOMUM VERUM),Cinnamon
CINNAMON CAPSULE (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamon
CINNAMON ( CINNAMOMUM VERUM),Cinnamon
CINNAMON (CINNAMOMUM VERUM),Cinnamon
CINNAMON(CINNAMOMUM VERUM),Cinnamon
"CINNAMON (CINNAMOMUM VERUM) TABLET, 500 MG",Cinnamon
CINNAMON (CINNAMOMUM VERUM) (UNKNOWN),Cinnamon
CINNAMON (CINNAMOMUM VERUM)(UNKNOWN),Cinnamon
CINNAMON (CINNAMOMUN VERUM) (CINNAMOMUM VERUM),Cinnamon
CINNAMON PILLS (CINNAMOMUM VERUM),Cinnamon
CINNAMON WITH CHROMIUM (CINNAMOMUM VERUM),Cinnamon
CNNAMON (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamon
MENTHOL/THYMOL/SYZYGIUM AROMATICUM OIL/CINNAMOMUM VERUM BARK OIL/EUCALYPTUS GLOBULUS OIL/FOENICULUM,Cinnamon
"S.M. (CALCIUM CARBONATE, CINNAMOMUM VERUM POWDER, COPTIS TRIFOLIA, DIA",Cinnamon
ALPHA LIPSIS SOID.CINNAMON,Cinnamon
ATRACTYLODES LANCEA RHIZOME/ALISMA RHIZOME/POLYPORUS SCLEROTIUM/PORIA SCLEROTIUM/CINNAMON BARK,Cinnamon
BERBERTINE + CINNAMON BARK,Cinnamon
"CABAGIN (CINNAMON, POWDERED, DIASTASE, LIQURICE, MENTHOL, NISIN, SCOPO",Cinnamon
CHINESE LICORICE (+) CHINESE PEONY (+) CINNAMON (+) EPHEDRA (+) GINGER,Cinnamon
CHROMIUM;CINNAMON,Cinnamon
CHROMIUM/CINNAMON,Cinnamon
CINNAMON                           /01647501/,Cinnamon
CINNAMON /01647501/,Cinnamon
CINNAMON                           /01647506/,Cinnamon
CINNAMON                           /05656701/,Cinnamon
CINNAMON                           /05656704/,Cinnamon
CINNAMON 1000 MG WITH CHROMIUM,Cinnamon
CINNAMON 1000/PLUS CHROMIUM,Cinnamon
CINNAMON 500 MG PLUS CHROMIUM METABOLISM SUPPORT,Cinnamon
CINNAMON AND CHROMIUM,Cinnamon
CINNAMON AND GREEN TEA,Cinnamon
CINNAMON AND HONEY,Cinnamon
CINNAMON BARK EXTRACT,Cinnamon
CINNAMON BARK W/CHROMIMUN,Cinnamon
CINNAMON/CHRM,Cinnamon
CINNAMON+CHROM,Cinnamon
CINNAMON/CHROME,Cinnamon
CINNAMON CHROMIUM,Cinnamon
CINNAMON + CHROMIUM,Cinnamon
CINNAMON/CHROMIUM,Cinnamon
