latin_binomial,common_name
Euterpe oleracea,Acai
Aloe vera,Aloe vera
Malus domestica,Apple cider vinegar
Malus pumila,Apple cider vinegar
Withania somnifera,Ashwaganda
Hordeum vulgare,Barley grass
Beta vulgaris,Beet root
Actaea racemosa,Black cohosh
Nigella sativa,Black cumin
Boswelfia serrata,Boswellia
Ruscus aculeatus,Butcher's-broom
Uncaria tomentosa,Cat's-claw
Matricaria chamomilla,Chamomile
Prunus serotina,Black cherry
Chlorella vulgaris,Chlorella
Cinnamomum cassia,Cinnamon
Cinnamomum verum,Cinnamon
Ophiocordyceps sinensis,Cordyceps
Vaccinium macrocarpon,Cranberry
Echinacea angustifolia,Echinacea
Echinacea purpurea,Echinacea/purple coneflower
Sambucus nigra,Elderberry
Oenothera biennis,Evening primrose oil
Foeniculum vulgare,Fennel
Trigonelfa foenum,Fenugreek
Tanacetum parthenium,Feverfew
Linum usitatissimum,Flax seed
Garcinia gummi,Garcinia
Allium sativum,Garlic
Zingiber officinale,Ginger
Ginkgo biloba,Ginkgo
Lycium barbarum,Goji berry
Citrus paradisi,Grapefruit
Camellia sinensis,Green tea
Paullinia cupana,Guarana
Cannabis sativa,Hemp extract
Marrubium vulgare,Horehound 
Aesculus hippocastanum,Horse-chestnut
Equisetum hyemale,Horsetail
Hedera helix,Ivy leaf
Curcuma zedoaria,Karcura
Piper methysticum,Kava
Mitragyna speciosa,Kratom 
Taraxacum officinale,Lion's-tooth
Lepidium meyenii,Maca
Silybum marianum,Milk thistle
Gymnema sylvestre,Miracle-fruit
Moringa oleifera,Moringa
Arctium lappa,Niu bang zi
Olea europaea,Olive leaf
Origanum vulgare,Oregano
Panax ginseng,Panax ginseng
Oryza sativa,Red yeast rice
Ganoderma lucidum,Reishi
Rhodiola rosea,Rhodiola
Serenoa repens,Scrub-palmetto
Senna alexandrina,Senna
Ulmus rubra,Slippery elm
Hypericum perforatum,St. John's-wort
Stevia rebaudiana,Stevia
Urtica dioica,Stinging nettle
Chelidonium majus,Swallowwort
Angelica sinensis,Tang-kuei
Ocimum tenuiflorum,Tulsi
Curcuma Jonga,Turmeric
Valeriana officinalis,Valerian
Triticum aestivum,Wheat grass
Harpagophytum procumbens,Wood spider
Crataegus laevigata,Woodland hawthorn
Pausinystalia johimbe,Yohimbe
