latin_binomial,common_name,latin_binomial_clean,common_name_clean
Abies alba,European silver fir,ABIES ALBA,EUROPEAN SILVER FIR
Abies alba,Silver fir,ABIES ALBA,SILVER FIR
Acanthus mollis,Bear's breeches,ACANTHUS MOLLIS,BEARS BREECHES
Acer floridanum,Sugarmaple,ACER FLORIDANUM,SUGARMAPLE
Acer rubrum,Red maple,ACER RUBRUM,RED MAPLE
Acer rubrum,Rotahorn,ACER RUBRUM,ROTAHORN
Achillea millefolium,Common yarrow,ACHILLEA MILLEFOLIUM,COMMON YARROW
Achillea millefolium,Milfoil,ACHILLEA MILLEFOLIUM,MILFOIL
Achillea millefolium,Yarrow,ACHILLEA MILLEFOLIUM,YARROW
Acorus calamus,Calamus,ACORUS CALAMUS,CALAMUS
Acorus calamus,Flagroot,ACORUS CALAMUS,FLAGROOT
Acorus calamus,Myrtle-flag,ACORUS CALAMUS,MYRTLEFLAG
Acorus calamus,Sweet calamus,ACORUS CALAMUS,SWEET CALAMUS
Acorus calamus,Sweet-flag,ACORUS CALAMUS,SWEETFLAG
Acorus calamus,Sweetroot,ACORUS CALAMUS,SWEETROOT
Actaea racemosa,Black bugbane,ACTAEA RACEMOSA,BLACK BUGBANE
Actaea racemosa,Black cohosh,ACTAEA RACEMOSA,BLACK COHOSH
Actaea racemosa,Black snakeroot,ACTAEA RACEMOSA,BLACK SNAKEROOT
Adiantum capillus,Common maidenhair,ADIANTUM CAPILLUS,COMMON MAIDENHAIR
Adiantum capillus,Maidenhair fern,ADIANTUM CAPILLUS,MAIDENHAIR FERN
Aesculus hippocastanum,Common horse chestnut,AESCULUS HIPPOCASTANUM,COMMON HORSE CHESTNUT
Aesculus hippocastanum,Horse-chestnut,AESCULUS HIPPOCASTANUM,HORSECHESTNUT
Aframomum melegueta,Guinea-pepper,AFRAMOMUM MELEGUETA,GUINEAPEPPER
Agathosma betulina,Buchu,AGATHOSMA BETULINA,BUCHU
Agathosma betulina,Honey buchu,AGATHOSMA BETULINA,HONEY BUCHU
Agathosma betulina,Mountain buchu,AGATHOSMA BETULINA,MOUNTAIN BUCHU
Agrimonia eupatoria,Agrimony,AGRIMONIA EUPATORIA,AGRIMONY
Agrimonia eupatoria,Da hua long ya cao,AGRIMONIA EUPATORIA,DA HUA LONG YA CAO
Albizia julibrissin,Happiness Tree,ALBIZIA JULIBRISSIN,HAPPINESS TREE
Albizia julibrissin,He huan,ALBIZIA JULIBRISSIN,HE HUAN
Albizia julibrissin,Mimosa,ALBIZIA JULIBRISSIN,MIMOSA
Albizia julibrissin,Silktree,ALBIZIA JULIBRISSIN,SILKTREE
Albizia julibrissin,Silktree albizia,ALBIZIA JULIBRISSIN,SILKTREE ALBIZIA
Alchemilla xanthochlora,Lady's-mantle,ALCHEMILLA XANTHOCHLORA,LADYSMANTLE
Allium cepa,Onion,ALLIUM CEPA,ONION
Allium cepa,Shallot,ALLIUM CEPA,SHALLOT
Aloe vera,Aloe,ALOE VERA,ALOE
Aloe vera,Aloe vera,ALOE VERA,ALOE VERA
