"p1"	"upper"
BURSA ORIENTALIS WHOLE	TILIA AMERICANA
KERNERIA LEUCANTHEMA WHOLE	SCUTELLARIA LATERIFLORA
EPIMEDIUM GRANDIFLORUM	URTICA DIOICA
BAUHINIA FURCATA WHOLE	CYPERUS ROTUNDUS
ERYTHRAEA SHUTTLEWORTHIANA WHOLE	ALOYSIA TRIPHYLLA
ZYGAENA LEWINI WHOLE	EUGENIA BIFLORA
CASTANEA FORMOSANA WHOLE	ACER RUBRUM
BLUMEA ELONGATA WHOLE	GANODERMA LUCIDUM
COMMELINA WERNEANA WHOLE	VIBURNUM OPULUS
ROSA RAMOSISSIMA WHOLE	NUPHAR LUTEA
ROSA GLAUCESCENS WHOLE	KNAUTIA ARVENSIS
PAPAVER RHOEAS WHOLE	MIRABILIS JALAPA
FILIX-FOEMINA AQUILINA WHOLE	SENNA ALEXANDRINA
ALPINIA OFFICINARUM HANCE	UNCARIA TOMENTOSA
LINARIA VULGARIS WHOLE	BACOPA MONNIERI
ULMUS MODIOLINA WHOLE	PRUNUS ANGUSTIFOLIA
CORALLODENDRON ABYSSINICUM WHOLE	LEPIDIUM MEYENII
IONIDIUM ERECTUM WHOLE	QUERCUS GAMBELII
ARENARIA JUSSIAEI WHOLE	SOLANUM ANGUIVI
ALLIUM BYZANTINUM WHOLE	SENNA ITALICA
TYPHA AEQUALIS WHOLE	LENS CULINARIS
PASPALUM NOTATUM	BRASSICA JUNCEA
CURCUMA OCHRORHIZA WHOLE	DIANTHUS CARTHUSIANORUM
QUERCUS PSEUDOILEX WHOLE	ACHILLEA MILLEFOLIUM
ACACIA SALIGNA WHOLE	TURNERA DIFFUSA
SELINUM MEUM WHOLE	SALVIA SCLAREA
ANETHUM GRAVEOLENS	PETROSELINUM CRISPUM
ROSA CURTICOLA WHOLE	ALCEA SETOSA
POINTEDLEAF TICKTREFOIL WHOLE	BIDENS PILOSA
STICKY-WILLY WHOLE	ARECA CATECHU
ZI MO LI	DRIMA MARITIMA
BLUSHER WHOLE	SOLIDAGO SIMPLEX
ULMUS GROSSHEIMII WHOLE	HYPERICUM GENTIANOIDES
MORINDA ZOLLINGERIANA WHOLE	PTERIDIUM AQUILINUM
CROSSOPTERYX FEBRIFUGA (AFZEL. EX G.DON) BENTH.	FOMES FOMENTARIUS
DIPSACUS FULLONUM L.	CLARKIA PURPUREA
GOATSRUE	PALIURUS SPINA-CHRISTI
