"concept_id","np_name"
-7991903,SUO CAO
-7993765,PURPLE NUT SEDGE WHOLE
-7997759,POGOSTEMON JAVANICUS WHOLE
-7992037,HORDEUM AMERICANUM WHOLE
-7992977,SAMAMA CITRIFOLIA WHOLE
-7993063,BUR-MARIGOLD WHOLE
-7999729,ANGELICA SINENSIS
-7990666,EASTERN RED-CEDAR
-7992861,MIRACLE-FRUIT
-7993397,THYME WHOLE
-7991368,SALVIA CALOSTACHYA WHOLE
-7994427,VERBASCUM BICOLLE WHOLE
-7995912,CAPSELLA LONGISILIQUA WHOLE
-7997960,CISTUS ROTUNDIFOLIUS WHOLE
-7991296,BIXA ORELLANA WHOLE
-7992826,ARALIA SPINOSA WHOLE
-7995778,BURRA GOKHARU WHOLE
-7996486,SOLANUM BENIENSE WHOLE
-7994960,GUARD AGAINST WIND WHOLE
-7999391,SITODIUM ALTILE WHOLE
-7999833,CINNAMOMUM VARIABILE WHOLE
-7990729,PAPAVER SYRIACUM WHOLE
-7990705,IVY
-7998946,PLECTRANTHUS MONACHORUM WHOLE
-7995289,TRITICUM ASIATICUM WHOLE
-7993078,BIDENS MONTAUBANI WHOLE
-7998045,MENTHA ALBARRACINENSIS WHOLE
-7997404,ACORUS WHOLE
-7995251,CODONOPSIS SILVESTRIS WHOLE
-7992641,PUNCTUREVINE
-7990685,PYROLA CORYMBOSA WHOLE
-7992209,ASPARAGOPSIS JAVANICA WHOLE
-7990836,INDIAN VALERIAN WHOLE
-7995547,KANAJE HINDI WHOLE
-7994417,VERBASCUM MAJUS WHOLE
-7993154,CATNIP
-7999341,PSEUDOTSUGA MENZIESII  FRANCO
-7998354,POLYGONUM HYPOLEUCUM WHOLE
-7999322,BLACK SNAKEROOT
-7995570,TRIGONELLA FOENUM-GRAECUM L.
-7996541,URTICA RADICANS WHOLE
-7992499,FRAGRANT WATERLILY
-7998541,CARDIACA VULGARIS WHOLE
-7999318,CIMICIFUGA RACEMOSA WHOLE
-7991046,ALEXIS GRANDIFLORA WHOLE
-7990687,PRINCE'S-PINE
-7996537,URTICA TIBETICA WHOLE
-7991120,CANNABIS SATIVA SUBSP. INDICA WHOLE
-7996857,FERULA SINKIANGENSIS WHOLE
-7999226,CATNIP WHOLE
-7995753,TRIBULUS HISPIDUS WHOLE
-7991492,LADY'S BEDSTRAW
-7997015,DIOSPYROS DISTYLA WHOLE
-7998159,CAPRIFOLIUM BRACHYPODUM WHOLE
-7992455,RAMA TULSI
-7999848,CINNAMOMUM MADRASSICUM WHOLE
-7999785,KARPURA WHOLE
-7995751,TRIBULUS HUMIFUSUS WHOLE
-7993550,ACHILLEA CERETANICA WHOLE
-7996669,LEBANESE OREGANO
-7992242,GENTIANA LUTEA WHOLE
-7991602,SAGE
-7995602,FUMARIA ANGUSTIFOLIA WHOLE
-7995937,CAPSELLA HIANS WHOLE
-7992746,VITIS VINIFERA WHOLE
-7994963,CACHRYS SESELOIDES WHOLE
-7994145,TIPTON'S-WEED WHOLE
-7998266,EURASIAN CHESTNUT WHOLE
-7992320,COMMON MALLOW WHOLE
-7997776,ABSINTHE
-7995647,HANDROANTHUS HEPTAPHYLLUS
-7996970,CRATAEGUS LAEVIGATA
-7994025,PLACODES HELVEOLUS WHOLE
-7999393,RADERMACHIA INCISA WHOLE
-7993336,CEPA VULGARIS WHOLE
-7992951,PTELEA PENTAPHYLLA WHOLE
-7995957,CAPSELLA EMARGINATA WHOLE
-7991069,KOREAN GINSENG
-7995421,BRASSICA COLZA WHOLE
-7995394,RAPA OBLONGA WHOLE
-7996934,CHINESE PARSLEY WHOLE
-7994802,PETROSELINUM CRISPUM
-7990737,PAPAVER INTERMEDIUM WHOLE
-7992985,MORINDA ZOLLINGERIANA WHOLE
-7999360,YELLOW CHASTE WEED
-7998417,ROUGH HORSETAIL
