"common_name"	"latin_binomial"
PRUNUS SPINOSA	PRUNUS SPINOSA
PHYTOLACCA AMERICANA	PHYTOLACCA AMERICANA
SMILAX PSEUDOCHINA	SMILAX PSEUDOCHINA
HARUNGANA MADAGASCARIENSIS	HARUNGANA MADAGASCARIENSIS
QUERCUS LOBATA	QUERCUS LOBATA
JATROPHA CURCAS	JATROPHA CURCAS
SOLANUM ACULEASTRUM	SOLANUM ACULEASTRUM
COMMIPHORA MUKUL	GUGGUL
ORIGANUM MAJORANA	ORIGANUM MAJORANA
PTERIDIUM AQUILINUM	PTERIDIUM AQUILINUM
MOMORDICA CHARANTIA	MOMORDICA CHARANTIA
ILEX PARAGUARIENSIS	ILEX PARAGUARIENSIS
ERYNGIUM FOETIDUM	ERYNGIUM FOETIDUM
CAPPARIS SPINOSA	CAPPARIS SPINOSA
SALVIA MILTIORRHIZA	SALVIA MILTIORRHIZA
LIQUIDAMBAR STYRACIFLUA	LIQUIDAMBAR STYRACIFLUA
ILEX OPACA	ILEX OPACA
MALVA SYLVESTRIS	MALVA SYLVESTRIS
PAPAVER RHOEAS	PAPAVER RHOEAS
COLLINSIA PARVIFLORA	COLLINSIA PARVIFLORA
LENS CULINARIS	LENS CULINARIS
CARPINUS CAROLINIANA	CARPINUS CAROLINIANA
ANCHUSA OFFICINALIS	ANCHUSA OFFICINALIS
SANGUINARIA CANADENSIS	SANGUINARIA CANADENSIS
HORSETAIL	HORSETAIL
ELDERBERRY	ELDERBERRY
BACTRIS MAJOR	BACTRIS MAJOR
LEONURUS CARDIACA	LEONURUS CARDIACA
SOLIDAGO SIMPLEX	SOLIDAGO SIMPLEX
RUBUS CANADENSIS	RUBUS CANADENSIS
DAPHNE SERICEA	DAPHNE SERICEA
ANGELICA PINNATA	ANGELICA PINNATA
SALIX BABYLONICA	SALIX BABYLONICA
HEUCHERA CYLINDRICA	HEUCHERA CYLINDRICA
CLINOPODIUM NEPETA	CLINOPODIUM NEPETA
TRIFOLIUM PRATENSE	TRIFOLIUM PRATENSE
URTICA DIOICA	URTICA DIOICA
CASTANEA PUMILA	CASTANEA PUMILA
SERENOA REPENS	SERENOA REPENS
ARISTOLOCHIA SERICEA	ARISTOLOCHIA SERICEA
OCIMUM TENUIFLORUM	OCIMUM TENUIFLORUM
TAMARINDUS INDICA	TAMARINDUS INDICA
LICORICE	GLYCYRRHIZA INFLATA
FUCUS DISTICHUS	FUCUS DISTICHUS
PIRIQUETA RACEMOSA	PIRIQUETA RACEMOSA
AFROLICANIA ELAEOSPERMA	AFROLICANIA ELAEOSPERMA
DIPLOTAXIS ERUCOIDES	DIPLOTAXIS ERUCOIDES
HYLOTELEPHIUM TELEPHIUM	HYLOTELEPHIUM TELEPHIUM
SMILAX AURICULATA	SMILAX AURICULATA
SALIX PYRIFOLIA	SALIX PYRIFOLIA
HELMINTHOTHECA ECHIOIDES	HELMINTHOTHECA ECHIOIDES
MORELLA CERIFERA	MORELLA CERIFERA
CINNAMOMUM CAMPHORA	CINNAMOMUM CAMPHORA
BERBERIS ARISTATA	BERBERIS ARISTATA
WATSONIA DENSIFLORA	WATSONIA DENSIFLORA
LYCIUM PALLIDUM	LYCIUM PALLIDUM
PLUCHEA INDICA	PLUCHEA INDICA
QUERCUS CERRIS	QUERCUS CERRIS
SOLANUM AMERICANUM	SOLANUM AMERICANUM
CITRUS SINENSIS	CITRUS SINENSIS
JUNIPERUS OXYCEDRUS	JUNIPERUS OXYCEDRUS
AGELAEA PENTAGYNA	AGELAEA PENTAGYNA
RHUS CORIARIA	RHUS CORIARIA
LYCIUM BARBARUM	LYCIUM BARBARUM
THYMUS VULGARIS	THYMUS VULGARIS
BACOPA MONNIERI	BACOPA MONNIERI
EPIMEDIUM PUBESCENS	EPIMEDIUM PUBESCENS
ASPHODELINE LUTEA	ASPHODELINE LUTEA
EQUISETUM HYEMALE	HORSETAIL
ALBIZIA JULIBRISSIN	ALBIZIA JULIBRISSIN
CORDYCEPS	TOONA SINENSIS
ATRACTYLODES LANCEA	ATRACTYLODES LANCEA
FAGUS GRANDIFOLIA	FAGUS GRANDIFOLIA
SMILAX GLABRA	SMILAX GLABRA
CEPHALANTHUS OCCIDENTALIS	CEPHALANTHUS OCCIDENTALIS
VERBASCUM THAPSUS	VERBASCUM THAPSUS
LACHNANTHES CAROLINIANA	LACHNANTHES CAROLINIANA
PISTACIA TEREBINTHUS	PISTACIA TEREBINTHUS
SMILAX BINCHUANENSIS	SMILAX BINCHUANENSIS
EPIMEDIUM GRANDIFLORUM	EPIMEDIUM GRANDIFLORUM
CHIMAPHILA UMBELLATA	CHIMAPHILA UMBELLATA
DAPHNE LAUREOLA	DAPHNE LAUREOLA
SCHOENOPLECTUS TABERNAEMONTANI	SCHOENOPLECTUS TABERNAEMONTANI
SMILAX LAURIFOLIA	SMILAX LAURIFOLIA
ANDROPOGON GLOMERATUS	ANDROPOGON GLOMERATUS
QUERCUS MARILANDICA	QUERCUS MARILANDICA
NOTOPTERYGIUM INCISUM	NOTOPTERYGIUM INCISUM
LIRIODENDRON TULIPIFERA	LIRIODENDRON TULIPIFERA
SCHINUS TEREBINTHIFOLIA	SCHINUS TEREBINTHIFOLIA
BOLBOSCHOENUS FLUVIATILIS	BOLBOSCHOENUS FLUVIATILIS
EUPHORBIA LACEI	EUPHORBIA LACEI
ASCLEPIAS STELLIFERA	ASCLEPIAS STELLIFERA
THUNBERGIA LAURIFOLIA	THUNBERGIA LAURIFOLIA
HIBISCUS MOSCHEUTOS	HIBISCUS MOSCHEUTOS
ECBALLIUM ELATERIUM	ECBALLIUM ELATERIUM
HYSSOPUS OFFICINALIS	HYSSOPUS OFFICINALIS
ILEX MUCRONATA	ILEX MUCRONATA
SAUSSUREA INVOLUCRATA	SAUSSUREA INVOLUCRATA
RHUS COPALLINUM	RHUS COPALLINUM
