"name"	"common_name"
BERBERIS SERRATIFOLIA WHOLE	BARBERRY
BERBERIS SIKKIMENSIS WHOLE	BARBERRY
BERBERIS UNDULATA WHOLE	BARBERRY
BERBERIS CERATOPHYLLA WHOLE	BARBERRY
BERBERIS ARISTATA [WHO-DD]	BARBERRY
BERBERIS ARISTATA DC.	BARBERRY
BERBERIS BUSSMUL WHOLE	BARBERRY
BERBERIS COERULESCENS WHOLE	BARBERRY
DARVI WHOLE	BARBERRY
BERBERIS CHITRIA WHOLE	BARBERRY
INDIAN BARBERRY [HOC]	BARBERRY
NEPALESE BARBERRY WHOLE	BARBERRY
INDIAN BARBERRY WHOLE	BARBERRY
BERBERIS GRACILLIMA WHOLE	BARBERRY
DARUHARIDRA WHOLE	BARBERRY
BERBERIS ARISTATA WHOLE	BARBERRY
BERBERIS COCCINEA WHOLE	BARBERRY
BERBERIS MACROPHYLLA WHOLE	BARBERRY
MULDERA MULTINERVIS WHOLE	BLACK PEPPER
PEPPER [HOC]	BLACK PEPPER
BLACK PEPPER WHOLE	BLACK PEPPER
PIPER NIGRUM L.	BLACK PEPPER
PIPER NIGRUM WHOLE	BLACK PEPPER
CUBAN OREGANO WHOLE	COLEUS
INDIAN BORAGE WHOLE	COLEUS
COLEUS AMBOINICUS WHOLE	COLEUS
OCIMUM VAALAE WHOLE	COLEUS
COLEUS SUBORBICULARIS WHOLE	COLEUS
MEXICAN MINT WHOLE	COLEUS
COLEUS AROMATICUS WHOLE	COLEUS
MEXICAN THYME WHOLE	COLEUS
COLEUS CRASSIFOLIUS WHOLE	COLEUS
COLEUS VAALAE WHOLE	COLEUS
INDIAN BORAGE [HOC]	COLEUS
INDIAN THYME WHOLE	COLEUS
PLECTRANTHUS AMBOINICUS WHOLE	COLEUS
VICK'S PLANT WHOLE	COLEUS
COLEUS SUBFRUTECTOSUS WHOLE	COLEUS
COLEUS CARNOSUS WHOLE	COLEUS
MAJANA CARNOSA WHOLE	COLEUS
COLEUS SUGANDA WHOLE	COLEUS
MAJANA SUGANDA WHOLE	COLEUS
PLECTRANTHUS AMBOINICUS (LOUR.) SPRENG.	COLEUS
MAJANA AMBOINICA WHOLE	COLEUS
CHINESE GOLDTHREAD WHOLE	COPTIS
COPTIS CHINENSIS [WHO-DD]	COPTIS
HUANG LIAN WHOLE	COPTIS
COPTIS CHINENSIS WHOLE	COPTIS
