"name"	"latin_binomial"
BERBERIS SERRATIFOLIA WHOLE	BERBERIS ARISTATA
BERBERIS SIKKIMENSIS WHOLE	BERBERIS ARISTATA
BERBERIS UNDULATA WHOLE	BERBERIS ARISTATA
BERBERIS CERATOPHYLLA WHOLE	BERBERIS ARISTATA
BERBERIS ARISTATA [WHO-DD]	BERBERIS ARISTATA
BERBERIS ARISTATA DC.	BERBERIS ARISTATA
BERBERIS BUSSMUL WHOLE	BERBERIS ARISTATA
BERBERIS COERULESCENS WHOLE	BERBERIS ARISTATA
DARVI WHOLE	BERBERIS ARISTATA
BERBERIS CHITRIA WHOLE	BERBERIS ARISTATA
INDIAN BARBERRY [HOC]	BERBERIS ARISTATA
NEPALESE BARBERRY WHOLE	BERBERIS ARISTATA
INDIAN BARBERRY WHOLE	BERBERIS ARISTATA
BERBERIS GRACILLIMA WHOLE	BERBERIS ARISTATA
DARUHARIDRA WHOLE	BERBERIS ARISTATA
BERBERIS ARISTATA WHOLE	BERBERIS ARISTATA
BERBERIS COCCINEA WHOLE	BERBERIS ARISTATA
BERBERIS MACROPHYLLA WHOLE	BERBERIS ARISTATA
MULDERA MULTINERVIS WHOLE	PIPER NIGRUM
PEPPER [HOC]	PIPER NIGRUM
BLACK PEPPER WHOLE	PIPER NIGRUM
PIPER NIGRUM L.	PIPER NIGRUM
PIPER NIGRUM WHOLE	PIPER NIGRUM
CUBAN OREGANO WHOLE	PLECTRANTHUS AMBOINICUS
INDIAN BORAGE WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS AMBOINICUS WHOLE	PLECTRANTHUS AMBOINICUS
OCIMUM VAALAE WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS SUBORBICULARIS WHOLE	PLECTRANTHUS AMBOINICUS
MEXICAN MINT WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS AROMATICUS WHOLE	PLECTRANTHUS AMBOINICUS
MEXICAN THYME WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS CRASSIFOLIUS WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS VAALAE WHOLE	PLECTRANTHUS AMBOINICUS
INDIAN BORAGE [HOC]	PLECTRANTHUS AMBOINICUS
INDIAN THYME WHOLE	PLECTRANTHUS AMBOINICUS
