"lb"	"mappings"
Abies alba	Abies alba
Abies alba	European silver fir
Abies alba	Silver fir
Acanthus mollis	Acanthus mollis
Acanthus mollis	Bear's breeches
Acer floridanum	Acer floridanum
Acer floridanum	Sugarmaple
Acer rubrum	Acer rubrum
Acer rubrum	Red maple
Acer rubrum	Rotahorn
Achillea millefolium	Achillea millefolium
Achillea millefolium	Common yarrow
Achillea millefolium	Milfoil
Achillea millefolium	Yarrow
Acorus calamus	Acorus calamus
Acorus calamus	Calamus
Acorus calamus	Flagroot
Acorus calamus	Myrtle-flag
Acorus calamus	Sweet calamus
Acorus calamus	Sweet-flag
Acorus calamus	Sweetroot
Actaea racemosa	Actaea racemosa
Actaea racemosa	Black bugbane
Actaea racemosa	Black cohosh
Actaea racemosa	Black snakeroot
Adiantum capillus	Adiantum capillus
Adiantum capillus	Common maidenhair
Adiantum capillus	Maidenhair fern
Aesculus hippocastanum	Aesculus hippocastanum
Aesculus hippocastanum	Common horse chestnut
Aesculus hippocastanum	Horse-chestnut
Aframomum melegueta	Aframomum melegueta
Aframomum melegueta	Guinea-pepper
Agathosma betulina	Agathosma betulina
Agathosma betulina	Buchu
Agathosma betulina	Honey buchu
Agathosma betulina	Mountain buchu
Agrimonia eupatoria	Agrimonia eupatoria
Agrimonia eupatoria	Agrimony
Agrimonia eupatoria	Da hua long ya cao
Albizia julibrissin	Albizia julibrissin
Albizia julibrissin	Happiness Tree
Albizia julibrissin	He huan
Albizia julibrissin	Mimosa
Albizia julibrissin	Silktree
Albizia julibrissin	Silktree albizia
Alchemilla xanthochlora	Alchemilla xanthochlora
Alchemilla xanthochlora	Lady's-mantle
Allium cepa	Allium cepa
Allium cepa	Onion
Allium cepa	Shallot
Allium sativum	Allium sativum
Allium sativum	Garlic
Aloe vera	Aloe
Aloe vera	Aloe vera
Aloe vera	Barbados aloe
Aloe vera	Curaçao aloe
Aloe vera	True aloe
Aloe vera	West Indian aloe
Alpinia officinarum	Alpinia officinarum
Alpinia officinarum	Chinese-ginger
Alpinia officinarum	Lesser galanga
Alpinia officinarum	Lesser galangal
Amaranthus spinosus	Amaranthus spinosus
Amaranthus spinosus	Prickly Amaranth
Amaranthus spinosus	Spiny Amaranth
Amomum villosum	Amomum villosum
Amomum villosum	Sha ren
Amomum villosum	Sharen
Amomum villosum	Villous amomum
Anethum graveolens	Anethum graveolens
Anethum graveolens	Dill
Anethum graveolens	Garden dill
Anethum graveolens	Shi luo
Angelica sinensis	Angelica sinensis
Angelica sinensis	Chinese Angelica
Angelica sinensis	Dang quai
Angelica sinensis	Dang qui
Angelica sinensis	Dong gui
Angelica sinensis	Dong quai
Angelica sinensis	Tang-kuei
Apium graveolens	Apium graveolens
Apium graveolens	Celery
Aralia racemosa	American spikenard
Aralia racemosa	Aralia racemosa
Aralia spinosa	Aralia spinosa
Aralia spinosa	Cong mu
Aralia spinosa	Japanese angelica-tree
Aralia spinosa	Japanese aralia
Arctium lappa	Arctium lappa
Arctium lappa	Burdock
Arctium lappa	Burr seed
Arctium lappa	Cocklebur
Arctium lappa	Edible burdock
Arctium lappa	Gobo
Arctium lappa	Goboshi
Arctium lappa	Great burdock
Arctium lappa	Great burdocks
Arctium lappa	Greater burdock
Arctium lappa	Hardock
Arctium lappa	Harebur
Arctium lappa	Lappa
Arctium lappa	Niu bang zi
Arctostaphylos uva	Arctostaphylos uva
Arctostaphylos uva	Bearberry
Arctostaphylos uva	Kinnikinnick
Arctostaphylos uva	Uva ursi
Ardisia crenata	Ardisia crenata
Ardisia crenata	Coralberry
Ardisia crenata	Coralberry tree
Ardisia crenata	Coral bush
Ardisia crenata	Hen's-eyes
Ardisia crenata	Koraalbessieboom
Ardisia crenata	Spiceberry
Ardisia crenata	Zhu sha gen
Areca catechu	Areca catechu
Areca catechu	Areca palm
Areca catechu	Bing lang
Aristotelia chilensis	Aristotelia chilensis
Aristotelia chilensis	Maqui
Artemisia absinthium	Absinthe
Artemisia absinthium	Absinthe wormwood
Artemisia absinthium	Absinthium
Artemisia absinthium	Artemisia absinthium
Artemisia absinthium	Wormwood
Artemisia annua	Artemisia annua
Artemisia annua	Huang hua hao
Artemisia annua	Sweet Annie
Artemisia annua	Sweet wormwood
Artocarpus altilis	Artocarpus altilis
Artocarpus altilis	Breadfruit
Asparagus racemosus	Asparagus racemosus
Asparagus racemosus	Shatamuli
Asparagus racemosus	Shatavari
Atractylodes lancea	Atractylodes lancea
Atractylodes lancea	Maocangzhu
Atractylodes macrocephala	Atractylodes macrocephala
Atractylodes macrocephala	Bai zhu
Atractylodes macrocephala	Bai zhu atractylodes
Atractylodes macrocephala	Largehead Atractylodes
Atractylodes macrocephala	White Atractylodes
Azadirachta indica	Azadirachta indica
Azadirachta indica	Indian-lilac
Azadirachta indica	Margosa
Azadirachta indica	Neem
Azadirachta indica	Nimtree
Bacopa monnieri	Bacopa
Bacopa monnieri	Bacopa monnieri
Bacopa monnieri	Moneywort
Bacopa monnieri	Water hyssop
Ballota nigra	Ballota
Ballota nigra	Ballota nigra
Ballota nigra	Black hempnettle
Ballota nigra	Black horehound
Ballota nigra	Black Stinking Horehound
Ballota nigra	Marrubium Nigrum
Berberis aquifolium	Berberis aquifolium
Berberis aquifolium	Blue barberry
Berberis aquifolium	Holly barberry
Berberis aquifolium	Holly mahonia
Berberis aquifolium	Mahonia
Berberis aquifolium	Mountain grape
Berberis aquifolium	Mountain-grape
Berberis aquifolium	Oregon grape
Berberis aquifolium	Oregon-grape
Berberis aristata	Berberis aristata
Berberis aristata	Indian barberry
Berberis aristata	Tree-turmeric
Berberis lycium	Berberis lycium
Berberis lycium	Berberislycium
Berberis vulgaris	Berberis vulgaris
Berberis vulgaris	Common barberry
Berberis vulgaris	European barberry
Berberis vulgaris	Jaundice-berry
Berberis vulgaris	piprage
Beta vulgaris	Beet
Beta vulgaris	Beet root
Beta vulgaris	Beta vulgaris
Beta vulgaris	Field beet
Beta vulgaris	Fodder beet
Beta vulgaris	Foliage beet
Beta vulgaris	Garden beet
Beta vulgaris	Mangel
Beta vulgaris	Mangel-wurzel
Beta vulgaris	Mangold
Beta vulgaris	Red beet
Beta vulgaris	Sicilian broad-rib beet
Beta vulgaris	Spinach beet
Beta vulgaris	Spinach chard
Beta vulgaris	Sugar beet
Beta vulgaris	Swiss chard
Beta vulgaris	Tian cai
Beta vulgaris	Yellow beet
Bidens pilosa	Bidens pilosa
Bidens pilosa	Hairy beggar-ticks
Bidens pilosa	Spanish-needles
Bixa orellana	Annatto
Bixa orellana	Arnatto
Bixa orellana	Bixa orellana
Bixa orellana	Lipsticktree
Bixa orellana	Rocou
Borago officinalis	Beebread
Borago officinalis	Beeplant
Borago officinalis	Borage
Borago officinalis	Borago officinalis
Borago officinalis	Star-flower
Borago officinalis	Talewort
Boswellia serrata	Boswellia
Boswellia serrata	Boswellia serrata
Brassica juncea	Brassica juncea
Brassica juncea	Indian mustard
Brassica juncea	Oriental mustard
Brassica oleracea	Brassica oleracea
Brassica oleracea	Colza
Brassica oleracea	Rape
Brassica oleracea	Rape seed
Brassica oleracea	Seed- rape
Brassica rapa	Brassica rapa
Brassica rapa	Rapini
Brassica rapa	Seven-top turnip
Brassica rapa	Turnip
Brassica rapa	Tyfon
Bupleurum chinense	Bei chai hu
Bupleurum chinense	Bupleurum
Bupleurum chinense	Bupleurum chinense
Bupleurum chinense	Chai hu
Bupleurum chinense	Chinese thoroughwax
