"pt"	"lb"	"mappings"
Aloe vera	Aloe vera	Aloe | Aloe vera | Barbados aloe | Curaçao aloe | True aloe | West Indian aloe
Americanbugleweed	Lycopus americanus	Americanbugleweed | Lycopus americanus
Americanchestnut	Castanea dentata	Americanchestnut | Castanea dentata
Americanpersimmon	Diospyros virginiana	Americanpersimmon | Diospyros virginiana
American spikenard	Aralia racemosa	American spikenard | Aralia racemosa
AmericanSycamore	Platanus occidentalis	AmericanSycamore | Platanus occidentalis
Apple cider vinegar	Malus domestica	Apple cider vinegar | Malus domestica | Malus pumila
Apple cider vinegar	Malus pumila	Apple cider vinegar | Malus domestica | Malus pumila
Ashwaganda	Withania somnifera	Asgandh | Ashwaganda | Ashwagandha | Asvagandha | Indian ginseng | Winter-cherry | Withania somnifera
Barley grass	Hordeum vulgare	Barley grass | Da mai | Hordeum vulgare
Bataviacinnamon	Cinnamomum burmanni	Bataviacinnamon | Cinnamomum burmanni
Bear's breeches	Acanthus mollis	Acanthus mollis | Bear's breeches
Beet root	Beta vulgaris	Beet | Beet root | Beta vulgaris | Field beet | Fodder beet | Foliage beet | Garden beet | Mangel | Mangel-wurzel | Mangold | Red beet | Sicilian broad-rib beet | Spinach beet | Spinach chard | Sugar beet | Swiss chard | Tian cai | Yellow beet
Berberislycium	Berberis lycium	Berberis lycium | Berberislycium
Bing lang	Areca catechu	Areca catechu | Areca palm | Bing lang
Black cherry	Prunus serotina	Black cherry | Prunus serotina | Rum cherry | Wild cherry
Black cohosh	Actaea racemosa	Actaea racemosa | Black bugbane | Black cohosh | Black snakeroot
Black cumin	Nigella sativa	Black cumin | Nigella sativa
Blackwalnut	Juglans nigra	Blackwalnut | Juglans nigra
Bluejackoak	Quercus incana	Bluejackoak | Quercus incana
Boldu	Peumus boldus	Boldo | Boldo tree | Boldu | Peumus boldus
Boswellia	Boswellia serrata	Boswellia | Boswellia serrata
Boysenberry	Rubus ursinus	Boysenberry | Rubus ursinus
Breadfruit	Artocarpus altilis	Artocarpus altilis | Breadfruit
Butcher's-broom	Ruscus aculeatus	Box-holly | Butcher's-broom | Ruscus aculeatus
Cabbage palm	Euterpe oleracea	Acai | Açai | Assai palm | Cabbage palm | Euterpe oleracea
California-poppy	Eschscholzia californica	California-poppy | Eschscholzia californica
CanadianGoldenrod	Solidago canadensis	CanadianGoldenrod | Solidago canadensis
